pattern,module,gdpr_article,gdpr_requirement,implementation_note
FHE feature extraction — encrypt at source,fhe-feature-extraction,Art. 25(1),Data protection by design — minimise processing of personal data at point of collection,Raw biomedical features encrypted with CKKS before any computation; plaintext values never leave origin system
FHE feature extraction — ciphertext computation,fhe-feature-extraction,Art. 25(1),Data protection by design — limit processing to what is necessary for specified purposes,Statistical operations (sum/mean/variance/dot-product) execute entirely in ciphertext; no intermediate decryption
FHE feature extraction — output minimisation,fhe-feature-extraction,Art. 5(1)(c),Data minimisation — adequate and limited to what is necessary,Only derived feature vector decrypted; raw input values never exposed to downstream processors
FHE feature extraction — audit trail,fhe-feature-extraction,Art. 5(2),Accountability — controller able to demonstrate compliance,DataMinimizationPipeline.get_audit_log() records per-request provenance including encryption parameters
FHE feature extraction — purpose limitation,fhe-feature-extraction,Art. 5(1)(b),Purpose limitation — collected for specified purposes and not further processed incompatibly,Context parameters (poly_modulus_degree) tied to declared computation purpose; re-use requires new context
DP training — gradient clipping,dp-llm-training,Art. 25(1),Data protection by design — built-in technical safeguards,Per-example gradient clipping (max_grad_norm) bounds individual contribution before parameter update
DP training — privacy budget enforcement,dp-llm-training,Art. 5(1)(f),Integrity and confidentiality — appropriate technical measures,BudgetAccountant enforces hard stop at declared (epsilon delta) budget; training halts on exhaustion
DP training — epsilon-delta logging,dp-llm-training,Art. 5(2),Accountability — demonstrate compliance with data-protection principles,BudgetAccountant.get_summary() persists per-epoch epsilon/delta values to structured audit log
DP training — pseudonymisation via noise,dp-llm-training,Art. 4(5) + Art. 89(1),Pseudonymisation and safeguards for research processing,Gaussian mechanism adds calibrated noise ensuring outputs cannot be attributed to any individual training record
DP training — research exemption alignment,dp-llm-training,Art. 89(1),Appropriate safeguards for processing for archiving/research purposes — technical measures required,DP mechanism satisfies Art. 89(1) technical-safeguard requirement for statistical research processing
LLM leakage — prompt injection detection,llm-leakage-assessment,Art. 5(1)(f),Integrity and confidentiality — protection against unauthorised processing,Prompt-injection test suite detects attempts to extract training data through adversarial inputs
LLM leakage — membership inference mitigation,llm-leakage-assessment,Art. 25(1),Data protection by design — prevent re-identification,MembershipInferenceAttack baseline verifies model confidence scores cannot confirm/deny individual record presence
LLM leakage — log capture prevention,llm-leakage-assessment,Art. 5(1)(f),Integrity and confidentiality — prevent accidental disclosure,Log-capture test cases verify inference pipeline does not echo sensitive context through log channels
LLM leakage — assessment documentation,llm-leakage-assessment,Art. 35,Data protection impact assessment — systematic description of processing operations,AssessmentRunner outputs structured JSON report documenting risk level and mitigation evidence per test
LLM leakage — data subject rights impact,llm-leakage-assessment,Art. 22,Automated decision-making — human oversight and right to explanation,Assessment checklist includes review of whether LLM outputs constitute automated decisions with legal effects
Governance — IRB amendment template,governance-templates,Art. 5(1)(b) + Art. 89(1),Purpose limitation + research safeguards — documented legal basis for processing,IRB amendment template captures GDPR legal basis (Art. 89 research exemption) alongside institutional approval
Governance — synthetic data generator,governance-templates,Art. 25(1) + Art. 89,Data protection by design — use synthetic data for development and testing,generate_synthetic_clinical.py produces statistically plausible records with no link to real data subjects
Governance — data minimisation checklist,governance-templates,Art. 5(1)(c),Data minimisation — ensure only necessary data is processed,Governance checklist operationalises data-minimisation principle for research team onboarding
Architectures — biomedical reference architecture,architectures,Art. 25(1) + Art. 32,Data protection by design and by default + security of processing,Four-layer governed-data design (collection / encryption / compute / output review) embeds GDPR controls at architecture level
Architectures — access control layer,architectures,Art. 32(1)(b),Security of processing — ensure ongoing confidentiality and integrity of processing systems,Reference architecture specifies role-based access control at each layer boundary before data is permitted to flow
Architectures — output review gate,architectures,Art. 5(1)(c) + Art. 25(1),Data minimisation + privacy by design — restrict outputs to aggregate results,PI review gate before export ensures only statistically aggregated results leave secure compute environment
Architectures — cross-border transfer controls,architectures,Art. 44–49,Transfers of personal data to third countries — appropriate safeguards required,Architecture explicitly flags cross-jurisdiction transfer points; FHE ensures ciphertext-only movement where raw transfer prohibited
